Run_Date,Avg_Total_Veh_Tunnel,Avg_Total_Veh_M30,Avg_Speed_Tunnel,Avg_Speed_Surface
2019-04-03T18:00:00Z,1486.9166666666667,7696.666666666667,62.86,73.80166666666666
2019-04-03T19:00:00Z,1149,6203.916666666667,63.50333333333333,76.5625
2019-04-03T20:00:00Z,736,3975.25,64.91583333333334,80.61999999999999
2019-04-03T21:00:00Z,424.8333333333333,2359.8333333333335,66.01166666666667,82.935
2019-04-03T22:00:00Z,259.5833333333333,1647.1666666666667,66.78,83.17083333333333
2019-04-03T23:00:00Z,130.83333333333334,915.6666666666666,66.44583333333334,84.85916666666667
2019-04-04T00:00:00Z,66.75,575.9166666666666,66.36416666666666,84.80083333333333
2019-04-04T01:00:00Z,49.5,496.6666666666667,66.38916666666667,86.38
2019-04-04T02:00:00Z,54.916666666666664,508.9166666666667,68.58833333333334,86.08
2019-04-04T03:00:00Z,147.91666666666666,816.1666666666666,67.52083333333333,85.6625
2019-04-04T04:00:00Z,867.25,3185.75,66.18833333333333,84.29166666666667
2019-04-04T05:00:00Z,1946,8698.583333333334,57.63333333333333,72.04166666666667
2019-04-04T06:00:00Z,2164.9166666666665,11549.583333333334,56.18833333333333,61.200833333333335
2019-04-04T07:00:00Z,1852.6666666666667,10680.083333333334,57.848333333333336,61.76583333333333
2019-04-04T08:00:00Z,1317.6666666666667,7451.083333333333,62.159166666666664,72.55083333333333
2019-04-04T09:00:00Z,1212.4166666666667,6468.333333333333,62.06166666666667,75.88166666666666
2019-04-04T10:00:00Z,1255,6520.916666666667,62.214166666666664,76.24499999999999
2019-04-04T11:00:00Z,1433.8333333333333,7123,62.35666666666667,76.1225
2019-04-04T12:00:00Z,1745.5,8746.833333333334,62.34,73.995
2019-04-04T13:00:00Z,1712.9166666666667,9075.5,62.725,71.79916666666666
2019-04-04T14:00:00Z,1609.3333333333333,8247.333333333334,62.0375,74.14166666666667
2019-04-04T15:00:00Z,1722.5,9040.333333333334,61.7525,70.8775
2019-04-04T16:00:00Z,1941.6666666666667,10312.5,60.836666666666666,63.665
2019-04-04T17:00:00Z,1816.4166666666667,10060.75,60.913333333333334,64.49416666666667
2019-04-04T18:00:00Z,1600.1666666666667,8482.166666666666,62.096666666666664,70.42833333333333
2019-04-04T19:00:00Z,1235.9166666666667,6497.666666666667,63.36416666666667,76.055
2019-04-04T20:00:00Z,815,4338.416666666667,64.65166666666667,79.8
2019-04-04T21:00:00Z,482.8333333333333,2856.5,65.19666666666666,82.29166666666667
2019-04-04T22:00:00Z,299.75,1892.8333333333333,64.88666666666667,83.13166666666667
2019-04-04T23:00:00Z,177.83333333333334,1185.5833333333333,65.70416666666667,84.57583333333334
2019-04-05T00:00:00Z,97.66666666666667,728.75,65.39750000000001,85.2675
2019-04-05T01:00:00Z,67.58333333333333,636.6666666666666,65.27333333333334,84.43583333333333
2019-04-05T02:00:00Z,78.25,594.9166666666666,66.42416666666666,83.89666666666668
2019-04-05T03:00:00Z,145.08333333333334,832.6666666666666,67.15,83.65166666666667
2019-04-05T04:00:00Z,845.5,3254.5833333333335,65.99916666666667,82.25083333333333
2019-04-05T05:00:00Z,1869.25,8341.166666666666,57.875,71.01083333333334
2019-04-05T06:00:00Z,2029.5833333333333,11486.333333333334,56.39333333333333,60.23833333333333
2019-04-05T07:00:00Z,1794.0833333333333,10590.083333333334,58.15,58.865
2019-04-05T08:00:00Z,1358.25,7022.5,62.0825,71.59583333333333
2019-04-05T09:00:00Z,1264.9166666666667,6548.583333333333,61.97833333333333,73.3725
2019-04-05T10:00:00Z,1326.5833333333333,6896.083333333333,62.10583333333334,74.51666666666667
2019-04-05T11:00:00Z,1569.75,7906.166666666667,61.98833333333333,73.19416666666667
2019-04-05T12:00:00Z,2240,11627.083333333334,59.44,57.96666666666667
2019-04-05T13:00:00Z,2720.5833333333335,13212.333333333334,55.59583333333333,49.667500000000004
2019-04-05T14:00:00Z,2117.5833333333335,10722.833333333334,58.80166666666667,59.1275
2019-04-05T15:00:00Z,1817.5,9478.25,60.93,65.79833333333333
2019-04-05T16:00:00Z,1823,9012.833333333334,60.46,66.11
2019-04-05T17:00:00Z,1556.3333333333333,7537.083333333333,61.93833333333333,72.89416666666666
2019-04-05T18:00:00Z,1484.9166666666667,7082.583333333333,61.844166666666666,74.1225
2019-04-05T19:00:00Z,1285.6666666666667,6890.333333333333,62.615,73.76166666666667
2019-04-05T20:00:00Z,905.25,4885.666666666667,63.9175,77.85333333333334
2019-04-05T21:00:00Z,543.8333333333334,2889.3333333333335,64.59166666666667,80.56750000000001
2019-04-05T22:00:00Z,449.6666666666667,2497.9166666666665,65.0675,80.5425
2019-04-05T23:00:00Z,342.8333333333333,2032.8333333333333,65.56833333333333,81.3925
2019-04-06T00:00:00Z,214,1217.3333333333333,66.53999999999999,83.05916666666667
2019-04-06T01:00:00Z,161.83333333333334,963.0833333333334,66.48583333333333,83.64416666666666
2019-04-06T02:00:00Z,124.91666666666667,783.8333333333334,67.20416666666667,84.37833333333333
2019-04-06T03:00:00Z,147.16666666666666,841.5833333333334,67.28083333333333,84.6725
2019-04-06T04:00:00Z,301.6666666666667,1389.9166666666667,66.72,83.81166666666667
2019-04-06T05:00:00Z,429.8333333333333,1983.4166666666667,65.96,83.1825
2019-04-06T06:00:00Z,630,2749.75,65.2075,81.9025
2019-04-06T07:00:00Z,928,4109.666666666667,64.0425,80.755
2019-04-06T08:00:00Z,1037.8333333333333,5024.5,63.48583333333333,79.6
2019-04-06T09:00:00Z,1151.9166666666667,5578.166666666667,62.806666666666665,78.15166666666667
2019-04-06T10:00:00Z,1331.3333333333333,6500.583333333333,61.72,75.54666666666667
2019-04-06T11:00:00Z,1576.5,7277,61.65416666666667,76.16333333333333
2019-04-06T12:00:00Z,1600.9166666666667,7958.25,62.3725,74.80333333333333
2019-04-06T13:00:00Z,1048.75,5339.583333333333,64.50666666666666,80.78666666666666
2019-04-06T14:00:00Z,858.1666666666666,4038.8333333333335,64.26833333333333,81.93583333333333
2019-04-06T15:00:00Z,1076,4942.833333333333,63.48916666666667,79.59666666666666
2019-04-06T16:00:00Z,1229.0833333333333,5846.416666666667,62.666666666666664,78.23083333333334
2019-04-06T17:00:00Z,1275.75,6306.083333333333,61.903333333333336,75.67416666666666
2019-04-06T18:00:00Z,1267.9166666666667,6042.666666666667,62.670833333333334,76.08166666666666
2019-04-06T19:00:00Z,1133,5784.5,62.48166666666667,75.55
2019-04-06T20:00:00Z,842.6666666666666,4326.166666666667,63.49666666666667,78.27416666666667
2019-04-06T21:00:00Z,624.0833333333334,3094.3333333333335,64.3025,79.89416666666666
2019-04-06T22:00:00Z,566.8333333333334,2867.4166666666665,64.15,80.1375
2019-04-06T23:00:00Z,434.9166666666667,2296.8333333333335,64.48416666666667,80.94083333333333
2019-04-07T00:00:00Z,265.4166666666667,1479.9166666666667,65.82666666666667,82.63
2019-04-07T01:00:00Z,177.08333333333334,1062.9166666666667,65.99916666666667,83.76916666666666
2019-04-07T02:00:00Z,148.5,892.4166666666666,66.49833333333333,82.9825
2019-04-07T03:00:00Z,148.25,858.6666666666666,67.66416666666666,84.19500000000001
2019-04-07T04:00:00Z,257.25,1260.1666666666667,68.23916666666666,84.665
2019-04-07T05:00:00Z,346.1666666666667,1635.5833333333333,66.5675,83.28416666666666
2019-04-07T06:00:00Z,521,2088.5833333333335,65.71916666666667,83.51916666666666
2019-04-07T07:00:00Z,553.1666666666666,2433.75,65.32833333333333,82.37333333333333
2019-04-07T08:00:00Z,745.25,3284.25,63.79416666666667,81.50583333333333
2019-04-07T09:00:00Z,1014.5833333333334,4576.833333333333,62.76583333333333,79.82583333333334
2019-04-07T10:00:00Z,1209.9166666666667,5501.25,62.3025,78.8225
2019-04-07T11:00:00Z,1431.75,6493.416666666667,61.875,78.17583333333333
2019-04-07T12:00:00Z,1421.9166666666667,6785.416666666667,63.244166666666665,78.03083333333333
2019-04-07T13:00:00Z,878.5,4587.5,64.565,81.395
2019-04-07T14:00:00Z,867.75,3953.25,64.15083333333334,82.12416666666667
2019-04-07T15:00:00Z,1185.4166666666667,5423.666666666667,63.08166666666666,79.37916666666666
2019-04-07T16:00:00Z,1318.5833333333333,5988,62.785,77.20833333333333
2019-04-07T17:00:00Z,1276.5,6005,62.36833333333333,76.47416666666666
