LAT;;;;;40.4165;40.4165;40.4165;40.4165
LON;;;;;-3.70256;-3.70256;-3.70256;-3.70256
ASL;;;;;665.000;665.000;665.000;665.000
CITY;;;;;Madrid;Madrid;Madrid;Madrid
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation (high resolution);Wind Speed;Wind Direction
UNIT;;;;;°C;mm;km/h;°
AGGREGATION;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;03;01;00;00;13.53;0.00;10.18;45.00
2019;03;01;01;00;11.17;0.00;14.28;56.31
2019;03;01;02;00;10.11;0.00;12.82;51.84
2019;03;01;03;00;8.92;0.00;12.74;42.71
2019;03;01;04;00;7.94;0.00;12.77;40.43
2019;03;01;05;00;7.18;0.00;11.72;42.51
2019;03;01;06;00;6.55;0.00;10.95;43.67
2019;03;01;07;00;6.14;0.00;9.93;46.47
2019;03;01;08;00;5.83;0.00;8.91;43.36
2019;03;01;09;00;7.32;0.00;8.15;45.00
2019;03;01;10;00;9.53;0.00;5.50;58.39
2019;03;01;11;00;12.57;0.00;5.05;85.91
2019;03;01;12;00;15.03;0.00;2.41;116.57
2019;03;01;13;00;16.43;0.00;3.55;246.04
2019;03;01;14;00;17.59;0.00;5.63;243.43
2019;03;01;15;00;18.52;0.00;6.62;247.62
2019;03;01;16;00;19.04;0.00;7.24;264.29
2019;03;01;17;00;19.20;0.00;7.57;272.73
2019;03;01;18;00;18.91;0.00;8.31;287.65
2019;03;01;19;00;17.85;0.00;6.61;299.36
2019;03;01;20;00;15.94;0.00;10.69;315.00
2019;03;01;21;00;13.14;0.00;13.72;4.51
2019;03;01;22;00;11.48;0.00;8.71;7.13
2019;03;01;23;00;10.36;0.00;6.03;17.35
2019;03;02;00;00;10.11;0.00;3.83;41.19
2019;03;02;01;00;9.88;0.00;0.72;270.00
2019;03;02;02;00;9.56;0.00;0.80;243.43
2019;03;02;03;00;9.42;0.00;2.97;104.04
2019;03;02;04;00;9.21;0.00;2.55;81.87
2019;03;02;05;00;8.96;0.00;1.80;36.87
2019;03;02;06;00;8.50;0.00;4.33;41.63
2019;03;02;07;00;7.86;0.00;5.40;36.87
2019;03;02;08;00;6.84;0.00;7.20;36.87
2019;03;02;09;00;7.88;0.00;5.62;50.19
2019;03;02;10;00;10.01;0.00;5.59;75.07
2019;03;02;11;00;12.22;0.00;7.90;65.77
2019;03;02;12;00;14.18;0.00;7.99;35.84
2019;03;02;13;00;15.79;0.00;7.29;237.09
2019;03;02;14;00;17.28;0.00;7.24;264.29
2019;03;02;15;00;18.32;0.00;6.12;270.00
2019;03;02;16;00;18.98;0.00;6.48;270.00
2019;03;02;17;00;19.25;0.00;6.13;266.63
2019;03;02;18;00;19.07;0.00;5.86;259.38
2019;03;02;19;00;18.49;0.00;3.83;221.19
2019;03;02;20;00;17.61;0.00;5.12;219.29
2019;03;02;21;00;16.21;0.00;4.61;231.34
2019;03;02;22;00;14.95;0.00;3.08;200.56
2019;03;02;23;00;13.98;0.00;3.67;101.31
2019;03;03;00;00;12.83;0.00;4.74;81.25
2019;03;03;01;00;11.09;0.00;3.88;68.20
2019;03;03;02;00;9.63;0.00;4.10;52.13
2019;03;03;03;00;8.58;0.00;4.58;45.00
2019;03;03;04;00;7.83;0.00;4.90;53.97
2019;03;03;05;00;7.28;0.00;5.32;61.70
2019;03;03;06;00;6.74;0.00;4.69;85.60
2019;03;03;07;00;6.33;0.00;4.33;94.76
2019;03;03;08;00;6.08;0.00;3.76;106.70
2019;03;03;09;00;6.98;0.00;2.28;108.43
2019;03;03;10;00;9.32;0.00;1.84;168.69
2019;03;03;11;00;11.77;0.00;5.32;208.30
2019;03;03;12;00;14.95;0.00;9.96;229.40
2019;03;03;13;00;17.21;0.00;14.98;234.78
2019;03;03;14;00;18.67;0.00;19.20;239.59
2019;03;03;15;00;19.67;0.00;21.41;243.00
2019;03;03;16;00;19.99;0.00;22.88;245.85
2019;03;03;17;00;19.69;0.00;23.69;245.77
2019;03;03;18;00;18.93;0.00;22.41;246.32
2019;03;03;19;00;17.49;0.00;17.81;255.96
2019;03;03;20;00;15.68;0.00;18.06;265.43
2019;03;03;21;00;14.27;0.00;15.84;268.70
2019;03;03;22;00;12.97;0.00;15.75;259.46
2019;03;03;23;00;11.77;0.00;16.24;257.20
2019;03;04;00;00;10.70;0.00;16.77;255.07
2019;03;04;01;00;9.52;0.00;17.21;254.22
2019;03;04;02;00;8.49;0.00;18.10;252.65
2019;03;04;03;00;7.76;0.00;17.45;248.20
2019;03;04;04;00;7.44;0.00;17.25;246.64
2019;03;04;05;00;7.45;0.00;17.19;250.43
2019;03;04;06;00;7.79;0.00;16.18;249.15
2019;03;04;07;00;8.00;0.00;14.84;255.96
2019;03;04;08;00;7.68;0.00;13.76;263.99
2019;03;04;09;00;7.94;0.00;13.32;268.45
2019;03;04;10;00;9.50;0.00;13.08;262.09
2019;03;04;11;00;11.46;0.00;13.63;257.80
2019;03;04;12;00;12.54;0.00;15.94;263.52
2019;03;04;13;00;14.29;0.00;17.76;252.30
2019;03;04;14;00;15.05;0.00;21.83;256.65
2019;03;04;15;00;15.88;0.00;23.66;256.81
2019;03;04;16;00;15.88;0.00;24.98;254.96
2019;03;04;17;00;15.60;0.00;25.32;255.17
2019;03;04;18;00;14.98;0.00;25.15;256.76
2019;03;04;19;00;13.68;0.00;22.45;257.97
2019;03;04;20;00;12.30;0.00;19.65;261.57
2019;03;04;21;00;11.33;0.00;18.00;258.47
2019;03;04;22;00;10.73;0.00;16.68;256.26
2019;03;04;23;00;10.21;0.00;14.69;258.69
2019;03;05;00;00;10.03;0.00;13.49;260.79
2019;03;05;01;00;9.50;0.00;11.38;251.57
2019;03;05;02;00;9.02;0.00;12.10;239.62
2019;03;05;03;00;8.56;0.00;12.29;238.17
2019;03;05;04;00;8.24;0.00;11.49;237.80
2019;03;05;05;00;7.99;0.00;11.09;256.87
2019;03;05;06;00;7.71;0.00;11.79;238.74
2019;03;05;07;00;7.16;0.00;9.03;246.50
2019;03;05;08;00;6.44;0.00;9.79;252.90
2019;03;05;09;00;7.49;0.00;11.63;248.20
2019;03;05;10;00;9.27;0.00;14.80;251.57
2019;03;05;11;00;11.05;0.00;19.13;250.20
2019;03;05;12;00;12.25;0.00;19.81;245.30
2019;03;05;13;00;13.33;0.00;22.86;243.84
2019;03;05;14;00;14.27;0.00;22.78;238.57
2019;03;05;15;00;15.00;0.00;21.87;237.09
2019;03;05;16;00;15.54;0.00;22.87;241.82
2019;03;05;17;00;15.84;0.00;23.19;244.23
2019;03;05;18;00;15.41;0.00;23.02;243.03
2019;03;05;19;00;15.03;0.00;20.14;241.14
2019;03;05;20;00;14.58;0.00;19.67;235.44
2019;03;05;21;00;13.58;0.00;14.77;226.97
2019;03;05;22;00;13.36;0.00;16.39;199.23
2019;03;05;23;00;13.34;0.00;26.08;206.21
2019;03;06;00;00;12.50;0.00;23.44;222.51
2019;03;06;01;00;11.92;0.00;18.95;218.83
2019;03;06;02;00;11.63;0.00;17.58;202.89
2019;03;06;03;00;10.96;0.10;18.95;194.30
2019;03;06;04;00;11.08;0.30;18.16;193.76
2019;03;06;05;00;11.49;0.40;20.83;198.12
2019;03;06;06;00;11.30;0.10;22.31;197.85
2019;03;06;07;00;10.97;0.10;25.42;195.61
2019;03;06;08;00;11.05;0.30;23.94;192.15
2019;03;06;09;00;12.21;0.00;28.17;206.57
2019;03;06;10;00;12.25;0.10;32.78;218.76
2019;03;06;11;00;10.10;2.20;25.36;231.34
2019;03;06;12;00;11.02;2.40;23.47;221.27
2019;03;06;13;00;11.55;0.90;31.16;229.69
2019;03;06;14;00;12.17;0.30;31.85;227.29
2019;03;06;15;00;11.99;0.80;37.05;235.69
2019;03;06;16;00;9.46;0.90;39.77;243.67
2019;03;06;17;00;9.09;0.30;35.87;259.59
2019;03;06;18;00;9.09;0.00;32.27;259.07
2019;03;06;19;00;7.95;0.00;31.26;255.32
2019;03;06;20;00;7.28;0.00;31.96;255.65
2019;03;06;21;00;6.93;0.00;31.36;257.40
2019;03;06;22;00;6.71;0.00;29.30;259.38
2019;03;06;23;00;6.20;0.00;26.08;263.66
2019;03;07;00;00;5.56;0.00;23.05;268.21
2019;03;07;01;00;5.03;0.00;20.55;273.01
2019;03;07;02;00;4.28;0.00;18.84;276.58
2019;03;07;03;00;3.50;0.00;16.34;277.59
2019;03;07;04;00;2.78;0.00;14.08;274.40
2019;03;07;05;00;2.15;0.00;11.18;266.31
2019;03;07;06;00;1.66;0.00;10.59;252.18
